playerID,yearID
gomezle01,1933
ferreri01,1933
gehrilo01,1933
gehrich01,1933
dykesji01,1933
cronijo01,1933
chapmbe01,1933
simmoal01,1933
ruthba01,1933
averiea01,1933
crowdal01,1933
dickebi01,1933
ferrewe01,1933
foxxji01,1933
grovele01,1933
hildeor01,1933
lazzeto01,1933
westsa01,1933
hallabi01,1933
wilsoji01,1933
terrybi01,1933
friscfr01,1933
martipe01,1933
bartedi01,1933
hafeych01,1933
bergewa01,1933
kleinch01,1933
cuccito01,1933
engliwo01,1933
hartnga01,1933
hubbeca01,1933
odoulle01,1933
schumha02,1933
traynpi01,1933
wanerpa01,1933
warnelo01,1933
gomezle01,1934
dickebi01,1934
gehrilo01,1934
gehrich01,1934
foxxji01,1934
cronijo01,1934
manushe01,1934
simmoal01,1934
ruthba01,1934
averiea01,1934
bridgto01,1934
chapmbe01,1934
cochrmi01,1934
dykesji01,1934
ferreri01,1934
hardeme01,1934
higgipi01,1934
ruffire01,1934
russeja01,1934
westsa01,1934
hubbeca01,1934
hartnga01,1934
terrybi01,1934
friscfr01,1934
traynpi01,1934
jackstr01,1934
medwijo01,1934
bergewa01,1934
cuyleki01,1934
deandi01,1934
frankfr02,1934
hermabi01,1934
hermabi01,1934
kleinch01,1934
lopezal01,1934
martipe01,1934
moorejo02,1934
mungova01,1934
ottme01,1934
vaughar01,1934
wanerpa01,1934
warnelo01,1934
gomezle01,1935
hemslro01,1935
gehrilo01,1935
gehrich01,1935
foxxji01,1935
cronijo01,1935
johnsbo01,1935
simmoal01,1935
vosmijo01,1935
averiea01,1935
bluegos01,1935
bridgto01,1935
chapmbe01,1935
cochrmi01,1935
cramedo01,1935
ferreri01,1935
grovele01,1935
hardeme01,1935
myerbu01,1935
rowesc01,1935
westsa01,1935
walkebi01,1935
wilsoji01,1935
terrybi01,1935
hermabi01,1935
martipe01,1935
vaughar01,1935
medwijo01,1935
bergewa01,1935
ottme01,1935
colliri02,1935
deandi01,1935
derripa01,1935
friscfr01,1935
hartnga01,1935
hubbeca01,1935
mancugu01,1935
moorejo02,1935
mungova01,1935
schumha02,1935
wanerpa01,1935
whitebu01,1935
grovele01,1936
ferreri01,1936
gehrilo01,1936
gehrich01,1936
higgipi01,1936
applilu01,1936
radclri01,1936
averiea01,1936
dimagjo01,1936
bridgto01,1936
chapmbe01,1936
crosefr01,1936
dickebi01,1936
foxxji01,1936
gomezle01,1936
gosligo01,1936
hardeme01,1936
hemslro01,1936
kenneve01,1936
pearsmo01,1936
rowesc01,1936
selkige01,1936
deandi01,1936
hartnga01,1936
colliri02,1936
hermabi01,1936
whitnpi01,1936
durocle01,1936
medwijo01,1936
galanau01,1936
demarfr02,1936
bergewa01,1936
daviscu01,1936
hubbeca01,1936
lombaer01,1936
martist01,1936
moorejo02,1936
mungova01,1936
ottme01,1936
riggsle01,1936
suhrgu01,1936
vaughar01,1936
warnelo01,1936
gomezle01,1937
dickebi01,1937
gehrilo01,1937
gehrich01,1937
rolfere01,1937
cronijo01,1937
westsa01,1937
averiea01,1937
dimagjo01,1937
bellbe01,1937
bridgto01,1937
cliftha01,1937
cramedo01,1937
ferreri01,1937
ferrewe01,1937
foxxji01,1937
greenha01,1937
grovele01,1937
hardeme01,1937
moseswa01,1937
murphjo04,1937
myerbu01,1937
sewellu01,1937
stratmo01,1937
walkege02,1937
deandi01,1937
hartnga01,1937
mizejo01,1937
hermabi01,1937
vaughar01,1937
bartedi01,1937
medwijo01,1937
demarfr02,1937
wanerpa01,1937
blantcy01,1937
colliri02,1937
grissle01,1937
hubbeca01,1937
jurgebi01,1937
lombaer01,1937
mancugu01,1937
martipe01,1937
moorege03,1937
moorejo02,1937
mungova01,1937
ottme01,1937
waltebu01,1937
whitebu01,1937
gomezle01,1938
dickebi01,1938
foxxji01,1938
gehrich01,1938
lewisbu01,1938
cronijo01,1938
kreevmi01,1938
averiea01,1938
dimagjo01,1938
allenjo02,1938
cramedo01,1938
fellebo01,1938
ferreri01,1938
gehrilo01,1938
greenha01,1938
grovele01,1938
johnsbo01,1938
kenneve01,1938
murphjo04,1938
newsobo01,1938
rolfere01,1938
ruffire01,1938
travice01,1938
yorkru01,1938
vandejo01,1938
lombaer01,1938
mccorfr01,1938
hermabi01,1938
hackst01,1938
durocle01,1938
medwijo01,1938
ottme01,1938
goodmiv01,1938
brownma01,1938
cuccito01,1938
danniha01,1938
derripa01,1938
hartnga01,1938
hubbeca01,1938
lavagco01,1938
leebi02,1938
leibeha01,1938
martihe01,1938
moorejo02,1938
phelpba01,1938
turneji01,1938
vaughar01,1938
wanerll01,1938
ruffire01,1939
dickebi01,1939
greenha01,1939
gordojo01,1939
rolfere01,1939
cronijo01,1939
selkige01,1939
dimagjo01,1939
cramedo01,1939
applilu01,1939
bridgto01,1939
casege01,1939
crosefr01,1939
fellebo01,1939
foxxji01,1939
gehrilo01,1939
gomezle01,1939
grovele01,1939
hayesfr01,1939
hemslro01,1939
hoagmy01,1939
johnsbo01,1939
lyonste01,1939
mcquige02,1939
murphjo04,1939
newsobo01,1939
derripa01,1939
lombaer01,1939
mccorfr01,1939
freylo01,1939
hackst01,1939
vaughar01,1939
medwijo01,1939
ottme01,1939
goodmiv01,1939
arnovmo01,1939
camildo01,1939
danniha01,1939
daviscu01,1939
fettelo01,1939
hermabi01,1939
jurgebi01,1939
lavagco01,1939
leebi02,1939
milleed03,1939
mizejo01,1939
moorete01,1939
phelpba01,1939
vandejo01,1939
waltebu01,1939
warnelo01,1939
wyattwh01,1939
ruffire01,1940
dickebi01,1940
foxxji01,1940
gordojo01,1940
travice01,1940
applilu01,1940
willite01,1940
dimagjo01,1940
kellech01,1940
boudrlo01,1940
bridgto01,1940
cramedo01,1940
fellebo01,1940
finnelo01,1940
greenha01,1940
hayesfr01,1940
hemslro01,1940
johnsbo01,1940
keltnke01,1940
leonadu02,1940
mackra01,1940
mcquige02,1940
milnaal01,1940
newsobo01,1940
pearsmo01,1940
rolfere01,1940
derripa01,1940
lombaer01,1940
mizejo01,1940
hermabi01,1940
lavagco01,1940
vaughar01,1940
medwijo01,1940
moorete01,1940
westma02,1940
coscape01,1940
danniha01,1940
durocle01,1940
frencla01,1940
higbeki01,1940
hubbeca01,1940
jurgebi01,1940
leibeha01,1940
maypi01,1940
mccorfr01,1940
milleed03,1940
moorejo02,1940
mulcahu01,1940
nichobi01,1940
ottme01,1940
phelpba01,1940
waltebu01,1940
wyattwh01,1940
fellebo01,1941
dickebi01,1941
yorkru01,1941
doerrbo01,1941
travice01,1941
cronijo01,1941
willite01,1941
dimagjo01,1941
heathje01,1941
applilu01,1941
bentoal01,1941
boudrlo01,1941
cullero01,1941
dimagdo01,1941
foxxji01,1941
gordojo01,1941
hayesfr01,1941
hudsosi01,1941
kellech01,1941
keltnke01,1941
leeth01,1941
ruffire01,1941
russoma01,1941
smithed04,1941
tebbebi01,1941
wyattwh01,1941
owenmi01,1941
mizejo01,1941
freylo01,1941
hackst01,1941
vaughar01,1941
moorete01,1941
reisepe01,1941
nichobi01,1941
blantcy01,1941
camildo01,1941
danniha01,1941
derripa01,1941
elliobo01,1941
hermabi01,1941
hubbeca01,1941
lavagco01,1941
leibeha01,1941
lopezal01,1941
mccorfr01,1941
medwijo01,1941
milleed03,1941
ottme01,1941
passecl01,1941
slaugen01,1941
waltebu01,1941
warnelo01,1941
chandsp01,1942
tebbebi01,1942
yorkru01,1942
gordojo01,1942
keltnke01,1942
boudrlo01,1942
willite01,1942
dimagjo01,1942
henrito01,1942
bagbyji02,1942
bentoal01,1942
bonhati01,1942
dickebi01,1942
dimagdo01,1942
doerrbo01,1942
hudsosi01,1942
hughste01,1942
johnsbo01,1942
mcquige02,1942
newhoha01,1942
rizzuph01,1942
rosarbu01,1942
ruffire01,1942
smithed04,1942
spencst01,1942
wagneha01,1942
coopemo01,1942
coopewa01,1942
mizejo01,1942
brownji03,1942
vaughar01,1942
milleed03,1942
medwijo01,1942
reisepe01,1942
ottme01,1942
derripa01,1942
elliobo01,1942
hermabi01,1942
hubbeca01,1942
litwhda01,1942
lombaer01,1942
marshwi01,1942
mccorfr01,1942
meltocl01,1942
moorete01,1942
owenmi01,1942
passecl01,1942
reesepe01,1942
slaugen01,1942
starrra01,1942
vandejo01,1942
waltebu01,1942
wyattwh01,1942
leonadu02,1943
earlyja01,1943
siebedi01,1943
doerrbo01,1943
keltnke01,1943
stephve01,1943
wakefdi01,1943
laabsch01,1943
casege01,1943
applilu01,1943
bagbyji02,1943
bonhati01,1943
boudrlo01,1943
chandsp01,1943
dickebi01,1943
gordojo01,1943
heathje01,1943
hughste01,1943
johnsbo01,1943
juddos01,1943
kellech01,1943
lindejo01,1943
newhoha01,1943
rosarbu01,1943
smithal03,1943
yorkru01,1943
coopemo01,1943
coopewa01,1943
fletcel01,1943
hermabi01,1943
hackst01,1943
marioma01,1943
musiast01,1943
walkeha01,1943
nichobi01,1943
adamsac01,1943
dahlgba01,1943
dimagvi01,1943
freylo01,1943
galanau01,1943
javeral01,1943
kurowwh01,1943
laniema01,1943
lombaer01,1943
mccorfr01,1943
milleed03,1943
ottme01,1943
owenmi01,1943
passecl01,1943
polleho01,1943
sewelri01,1943
vandejo01,1943
walkedi02,1943
borowha01,1944
hemslro01,1944
mcquige02,1944
doerrbo01,1944
keltnke01,1944
stephve01,1944
johnsbo01,1944
tucketh01,1944
spencst01,1944
boudrlo01,1944
casege01,1944
cullero01,1944
ferreri01,1944
foxpe01,1944
groveor01,1944
hayesfr01,1944
higgipi01,1944
hockeor01,1944
hughste01,1944
leonadu02,1944
muncrbo01,1944
newhoha01,1944
newsobo01,1944
pagejo01,1944
troutdi01,1944
yorkru01,1944
waltebu01,1944
coopewa01,1944
cavarph01,1944
ryanco01,1944
elliobo01,1944
marioma01,1944
galanau01,1944
musiast01,1944
walkedi02,1944
andrena01,1944
dimagvi01,1944
javeral01,1944
johnsdo02,1944
kurowwh01,1944
laniema01,1944
mccorfr01,1944
medwijo01,1944
milleed03,1944
muellra01,1944
mungere01,1944
nichobi01,1944
ottme01,1944
owenmi01,1944
raffeke01,1944
sewelri01,1944
tobinji01,1944
voisebi01,1944
zakfr01,1944
borowha01,1945
boudrlo01,1945
casege01,1945
chrisru01,1945
cuccito01,1945
ettenni01,1945
ferreri01,1945
ferrida01,1945
greenha01,1945
grimeos01,1945
gromest01,1945
hayesfr01,1945
johnsbo01,1945
krameja01,1945
leeth01,1945
leonadu02,1945
mayoed01,1945
mcquige02,1945
moseswa01,1945
newhoha01,1945
reynoal01,1945
stephve01,1945
stirnsn01,1945
treshmi01,1945
barrere01,1945
cavarph01,1945
coopemo01,1945
elliobo01,1945
greggha01,1945
hackst01,1945
holmeto01,1945
johnsdo02,1945
kurowwh01,1945
lombaer01,1945
marioma01,1945
masiph01,1945
mccorfr01,1945
mungova01,1945
nichobi01,1945
odeake01,1945
ottme01,1945
pafkoan01,1945
passecl01,1945
roepr01,1945
rosengo01,1945
sewelri01,1945
